Filename,Asset Version,Asset Generator,Number of Scenes,Number of Nodes,Number of Meshes,Number of Materials,Number of Animations,Number of Textures,Number of Images,Number of Buffers,Extensions Used,Extensions Required,Count_Extensions_Used,Cluster,PCA1,PCA2
The_Morning_Room.glb,2.0,pygltflib@v1.16.3,1,30,13,1,0,1,1,1,[],[],0,0,-0.5099781087325774,0.11277321400342387
angkor_wat_temple_cambodia.glb,2.0,Sketchfab-12.68.0,1,27,23,1,0,1,1,1,[],[],0,0,-0.46571266677187745,0.19926046386057145
terracotta_warrior.glb,2.0,Sketchfab-13.93.0,1,11,7,1,0,3,3,1,[],[],0,0,-0.42252331318458247,-0.12668228742274099
parthenon_-_acropolis_athens_greece.glb,2.0,Sketchfab-12.68.0,1,13,8,2,0,2,2,1,[],[],0,0,-0.4517298886835388,-0.07991187471159147
Cathedral.glb,2.0,pygltflib@v1.16.3,1,70,33,2,0,4,4,1,[],[],0,0,-0.0038099178291676147,0.28846863361769964
14th_century_great_wall.glb,2.0,Sketchfab-12.65.0,1,16,12,1,0,1,1,1,['KHR_materials_unlit'],[],1,2,-0.7031154136427301,-0.04215044670341489
Church_of_St.glb,2.0,pygltflib@v1.16.3,1,38,17,1,0,1,1,1,[],[],0,0,-0.46819421555791635,0.1840090860895929
Apollo_Belvedere.glb,2.0,pygltflib@v1.16.3,1,6,1,1,0,5,5,1,[],[],0,0,-0.2984285144338337,-0.3103797877612602
Rick_Roll_Bridge.glb,2.0,pygltflib@v1.16.3,1,44,20,1,0,1,1,1,[],[],0,0,-0.43685629567692064,0.2374359901542197
Coptic_prayer_book.glb,2.0,pygltflib@v1.16.3,1,10,2,1,0,4,4,1,[],[],0,0,-0.36697357342402814,-0.23224404463636722
westminster_abbey.glb,2.0,Sketchfab-15.24.0,1,19,15,3,0,3,3,1,['KHR_materials_unlit'],[],1,2,-0.42203274678198405,-0.1521941818559603
Vendetta_Mask.glb,2.0,pygltflib@v1.16.3,1,21,8,1,0,0,0,1,[],[],0,0,-0.6438161505706743,0.08007243463566
Helmet_with_Beaked_Visor.glb,2.0,pygltflib@v1.16.3,1,26,11,1,0,1,1,1,[],[],0,0,-0.5308700553199079,0.07715527796033933
chichen_itza_pyramid_3d_reconstruction.glb,2.0,Sketchfab-12.68.0,1,4,1,1,0,1,1,1,['KHR_materials_unlit'],[],1,2,-0.791849689013938,-0.19822195130634726
Harlech_Castle_Wales_-_UNESCO_World_Heritage.glb,2.0,pygltflib@v1.16.3,1,10,2,1,0,1,1,1,[],[],0,0,-0.6196495287910732,-0.07516000550673464
Coelophysis.glb,2.0,pygltflib@v1.16.3,1,6,1,1,0,1,1,1,[],[],0,0,-0.6353297882565604,-0.10093440225508339
Gurley_Burt_Solar_Transit_-_Circa_1907.glb,2.0,pygltflib@v1.16.3,1,17,4,3,0,14,14,1,[],[],0,0,0.5931685263039714,-0.7550912326423889
Mexico_City_Metropolitan_Cathedral.glb,2.0,pygltflib@v1.16.3,1,62,29,4,0,4,4,1,[],[],0,0,0.04355172832229133,0.17043295815765658
ruin_on_top_of_meteora.glb,2.0,Sketchfab-12.68.0,1,14,12,1,0,2,2,1,[],[],0,0,-0.4728387667733147,-0.013155101482308298
Hintze_Hall.glb,2.0,pygltflib@v1.16.3,1,92,44,3,0,4,4,1,[],[],0,0,0.15566855806421,0.4609673801677276
Marly_-_Louvre_Museum_Low_Definition.glb,2.0,pygltflib@v1.16.3,1,11,3,1,0,1,1,1,[],[],0,0,-0.6118206985833189,-0.0613337518485956
Protoceratops_andrewsi_NHMW-GEO_201504040001.glb,2.0,pygltflib@v1.16.3,1,28,12,2,0,2,2,1,[],[],0,0,-0.39162599390750097,0.01920299791840039
Ship_in_a_bottle.glb,2.0,pygltflib@v1.16.3,1,28,8,8,0,19,19,1,[],[],0,0,1.2867942893300734,-1.0507134577834158
The_Armoury.glb,2.0,pygltflib@v1.16.3,1,34,15,1,0,1,1,1,[],[],0,0,-0.4890861621452469,0.14839115004650838
excavation_of_the_medina_calatrava_la_vieja.glb,2.0,Sketchfab-16.59.0,1,56,54,1,0,1,1,1,[],[],0,0,-0.22825321650331717,0.619908898536074
neuschwanstein_castle_bavaria_germany.glb,2.0,Sketchfab-12.66.0,1,73,69,1,0,1,1,1,[],[],0,0,-0.10558647721518129,0.8352681321349655
The_Rosetta_Stone.glb,2.0,pygltflib@v1.16.3,1,16,6,1,0,1,1,1,[],[],0,0,-0.5830999217882342,-0.011889562147372043
sydney_opera_house_sydney_australia.glb,2.0,Sketchfab-14.96.0,1,54,50,1,0,1,1,1,['KHR_materials_specular'],[],1,2,-0.40561986574806796,0.4832471923058672
School_Anime.glb,2.0,pygltflib@v1.16.3,1,32,14,6,0,5,5,1,[],[],0,0,0.06023298669911422,-0.1958627119158956
Estances_de_la_Casa_Gassia.glb,2.0,pygltflib@v1.16.3,1,38,17,1,0,1,1,1,[],[],0,0,-0.46819421555791635,0.1840090860895929
notre_dame_cathedral__work_in_progress.glb,2.0,Sketchfab-12.66.0,1,4,2,1,0,1,1,1,['KHR_materials_unlit'],[],1,2,-0.7866380018920948,-0.18837841201161157
Sculpture_Bust_of_Róża_Loewenfeld.glb,2.0,pygltflib@v1.16.3,1,7,1,1,0,2,2,1,[],[],0,0,-0.5484873267149678,-0.14931303426822432
St_Pancras_New_Church_Crypt.glb,2.0,pygltflib@v1.16.3,1,44,20,1,0,1,1,1,[],[],0,0,-0.43685629567692064,0.2374359901542197
model_of_pompeii_in_naples_archaeological_museum.glb,2.0,Sketchfab-15.1.0,1,40,38,2,0,2,2,1,['KHR_materials_unlit'],[],1,2,-0.3760020262941995,0.23360547161791148
Granite_head_of_Amenemhat_III.glb,2.0,pygltflib@v1.16.3,1,12,4,2,0,8,8,1,[],[],0,0,0.030158130477266825,-0.437436824513203
