Exact File Name,Proper Name,Description,Timeline/Era,File Path
angkor_wat_temple_cambodia.glb,Angkor Wat Temple Cambodia,"Angkor wat temple cambodia

angkor wat is a vast temple complex in cambodia, built during the khmer empire in the 12th century by king suryavarman ii. it is the largest religious monument in the world, spanning over 400 acres.

historical.","9th century: jayavarman ii establishes the khmer empire, beginning the angkorian period.
 10th-11th centuries: construction of smaller temples in the angkor area.
 12th century:
     1113: suryavarman ii begins construction of angkor wat.
     1150s: angkor wat is completed.
 13th-14th centuries: angkorian empire reaches its peak, with angkor wat serving as the royal temple.
 15th century: angkor wat is abandoned after the decline of the khmer empire.
 16th-19th centuries: angkor wat remains a pilgrimage site for buddhists and hindus.
 19th century: french explorers rediscover angkor wat, leading to its restoration and international fame.
 20th century: continued restoration and preservation efforts.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/angkor_wat_temple_cambodia.glb
terracotta_warrior.glb,Terracotta Warrior,"Terracotta warrior

the terracotta warriors are life-sized terracotta sculptures of warriors, horses, and chariots that were buried with the first emperor of china, qin shi huang. the warriors were discovered in 1974 near xi'an, china. the figures were created in the 3rd century bce during the qin dynasty (221-206 bce).

the terracotta warriors are one of the most important archaeological discoveries of the 20th century. they provide a unique glimpse into the culture and technology of ancient china. the warriors are also a testament to the power and wealth of the qin dynasty.",Era not specified.,/Users/mmadhusudan/Desktop/MyProject/My3DModels/terracotta_warrior.glb
parthenon_-_acropolis_athens_greece.glb,Parthenon   Acropolis Athens Greece,"Parthenon, acropolis, athens, greece

description:
the parthenon is an iconic greek temple located atop the acropolis of athens. its majestic doric architecture and exquisite sculptures showcase the height of classical greek art and architecture.","C. 447-438 bce: constructed during the athenian golden age, under the leadership of pericles.
 c. 438 bce: dedication of the temple to the goddess athena parthenos.
 5th-6th centuries ce: converted into a christian church dedicated to the virgin mary.
 15th century ce: converted into a mosque after the ottoman conquest of athens.
 1687 ce: severely damaged during the venetian siege of athens.
 19th century ce: extensive restoration efforts began under the greek government.
 present day: the parthenon remains one of the most important architectural landmarks in the world, attracting millions of visitors annually.

historical era:
classical greek period (c. 5th-4th centuries bce).",/Users/mmadhusudan/Desktop/MyProject/My3DModels/parthenon_-_acropolis_athens_greece.glb
14th_century_great_wall.glb,14Th Century Great Wall,"14th century great wall

historical period: yuan dynasty (1271-1368)

description:

the 14th century great wall refers to the extensive fortifications and watchtowers constructed during the yuan dynasty to protect china's northern border from nomadic raiders.","Early 14th century: emperor kublai khan initiated major construction and repairs along the existing great wall.
 mid-14th century: construction focused on sections of the great wall in northern and northeastern china.
 late 14th century: the ming dynasty overthrew the yuan and continued to maintain and expand the great wall.

historical significance:

the 14th century great wall was a testament to the advanced military engineering skills of the yuan dynasty. it played a crucial role in defending china from invasions and securing stability along its northern frontiers.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/14th_century_great_wall.glb
westminster_abbey.glb,Westminster Abbey,"Westminster abbey

description:

westminster abbey is a magnificent gothic cathedral located in london, england. it is one of the most iconic religious buildings in the united kingdom and has served as the coronation church for english monarchs since 1066.

historical.","Pre-norman period (c. 616-1066):
 site of a monastery dedicated to st. peter founded by king sebert of essex.

norman era (1066-1189):
 edward the confessor rebuilt the abbey in the romanesque style in the 11th century.
 1066: william the conqueror crowned in the abbey, establishing its status as the coronation site.
 1095: rededicated by abbot gislebert.

early gothic period (1189-1245):
 henry iii rebuilt the abbey in the gothic style, beginning in 1245.

high gothic period (1245-1485):
 construction of the nave, transepts, and lady chapel completed.
 burials of numerous english kings and queens.

late gothic period (1485-1558):
 henry vii added the henry vii lady chapel, a masterpiece of tudor architecture.

tudor era (1485-1603):
 dissolution of the monasteries under henry viii.
 westminster abbey became a royal peculiar, directly under the authority of the monarch.

stuart era (1603-1714):
 further burials and coronations of british monarchs.

georgian era (1714-1837):
 george ii's coronation in 1727 marked the last coronation to use an anointing chair.
 burials of many famous individuals, including writers, scientists, and politicians.

victorian era (1837-1901):
 revival of gothic architecture in the abbey.
 installation of stained glass windows by victorian artists.

modern period (post-1901):
 restoration and conservation efforts.
 westminster abbey continues to serve as a coronation church and a place of worship and pilgrimage.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/westminster_abbey.glb
chichen_itza_pyramid_3d_reconstruction.glb,Chichen Itza Pyramid 3D Reconstruction,"Chichen itza pyramid 3d reconstruction

this 3d reconstruction visualizes the grandeur of pyramid 3d within the ancient mayan city of chichen itza. its estimated historical timeline is as follows:

pre-classic period (c. 2000-250 bce):
 construction of early structures and platforms on the site of pyramid 3d.

classic period (c. 250-900 ce):
 major expansion and fortification of chichen itza.
 construction of pyramid 3d, believed to have been completed around 800 ce.
 its use as a temple and a sacred site.

post-classic period (c. 900-1524 ce):
 decline of chichen itza.
 pyramid 3d continued to be used as a ceremonial center.

colonial period (1524-1821 ce):
 spanish conquest of the region.
 abandonment and decay of chichen itza.",Era not specified.,/Users/mmadhusudan/Desktop/MyProject/My3DModels/chichen_itza_pyramid_3d_reconstruction.glb
ruin_on_top_of_meteora.glb,Ruin On Top Of Meteora,"Ruin on top of meteora

description:

the ruin on top of meteora is a partially preserved monastery located atop a towering sandstone pillar in the meteora region of greece. it is one of the six active eastern orthodox monasteries built on the natural spires of meteora during the byzantine and ottoman periods.

historical.","14th-15th centuries: the monastery is believed to have been founded by a hermit monk named athanasios.
 16th century: the monastery is mentioned in historical documents as ""meteora's castle,"" indicating its defensive role during the ottoman invasion.
 17th-18th centuries: the monastery flourished, with the construction of a church, refectory, and other structures.
 19th century: the monastery was abandoned due to earthquakes and declining monastic population.
 20th century: the monastery was partially restored and designated a unesco world heritage site.

historical era:

the ruin on top of meteora belongs to the byzantine and ottoman periods, from the 14th to the 19th centuries. the monastery reflects the rich religious and architectural traditions of these historical eras.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/ruin_on_top_of_meteora.glb
excavation_of_the_medina_calatrava_la_vieja.glb,Excavation Of The Medina Calatrava La Vieja,"Excavation of the medina calatrava la vieja

historical.","11th-13th century: founding and fortification of the medieval fortress city of medina calatrava la vieja by the knights of calatrava.
 13th-15th century: period of prosperity and expansion, with the city serving as an important strategic location in the reconquista.
 1484-1507: reign of queen isabella i of castile, who ordered the rebuilding of the city walls and fortifications.
 16th-17th century: decline of the city and gradual abandonment.
 20th century: archaeological excavations begin, revealing the remains of the once-thriving urban center.
 21st century: ongoing excavations and research continue to shed light on the city's medieval past.

historical era:

 high middle ages (11th-13th century)
 late middle ages (14th-15th century).",/Users/mmadhusudan/Desktop/MyProject/My3DModels/excavation_of_the_medina_calatrava_la_vieja.glb
neuschwanstein_castle_bavaria_germany.glb,Neuschwanstein Castle Bavaria Germany,"Neuschwanstein castle, bavaria, germany

neuschwanstein castle is a 19th-century romantic revival palace located in the bavarian alps, germany. it was commissioned by ludwig ii of bavaria as a personal retreat and a testament to his love of medieval architecture. the castle was designed by christian jank and ludwig himself, and its construction began in 1869. neuschwanstein was intended to evoke the fantasy castles of the middle ages, and it features a variety of elaborate towers, turrets, and crenellations. the interior of the castle is equally impressive, with richly decorated rooms and opulent furnishings.

historical timeline

 1869: construction of neuschwanstein begins.
 1886: ludwig ii dies before the castle is completed.
 1886-1892: neuschwanstein is opened to the public.
 1945: the castle is damaged during world war ii.
 1950s-1960s: extensive restoration work is undertaken on the castle.
 present: neuschwanstein is one of the most popular tourist destinations in germany.

historical era or period

neuschwanstein castle belongs to the romantic revival era, which was a style of architecture that flourished in the 19th century. the romantic revival style was characterized by its use of medieval and gothic motifs, and it was often used for the construction of castles and other romantic-themed buildings.",Era not specified.,/Users/mmadhusudan/Desktop/MyProject/My3DModels/neuschwanstein_castle_bavaria_germany.glb
sydney_opera_house_sydney_australia.glb,Sydney Opera House Sydney Australia,"Sydney opera house, sydney, australia

description:
an iconic performing arts center renowned for its distinctive sail-like roof. designed by danish architect jørn utzon, it has become a symbol of modern architecture and australia's cultural identity.

historical.","Late modernism era (1950s-1970s)

 1957: international design competition announced, won by jørn utzon
 1959: construction begins
 1966: exterior shell and roof framework completed
 1973: official opening ceremony

postmodern era (1970s-1990s)

 1990: utzon's alterations to the interior are rejected, leading to his resignation
 1995: sydney opera house trust established to manage the venue

contemporary era (1990s-present)

 1998-2006: major restoration and refurbishment project
 2007: unesco world heritage site designation
 2016: utzon's original plans for the interior are realized.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/sydney_opera_house_sydney_australia.glb
